"","Mean","Median","St.Dev.","95%CI_low","95%CI_upp"
"mu1[342]",-0.26,-0.26,0.05,-0.37,-0.15
"mu1[343]",-0.47,-0.47,0.06,-0.58,-0.36
"mu1[344]",0.56,0.56,0.06,0.45,0.66
"mu1[345]",0.09,0.09,0.06,-0.03,0.21
"mu1[346]",-0.16,-0.16,0.09,-0.34,0.01
"mu1[347]",-0.96,-0.96,0.09,-1.13,-0.78
"mu1[348]",0.06,0.06,0.06,-0.06,0.17
"mu1[349]",0.15,0.15,0.03,0.09,0.22
"mu1[350]",-0.39,-0.39,0.08,-0.55,-0.22
"mu1[351]",-0.35,-0.35,0.05,-0.45,-0.24
"mu1[352]",-0.27,-0.27,0.08,-0.42,-0.12
"mu1[353]",0.05,0.06,0.06,-0.07,0.18
"mu1[354]",0.97,0.97,0.07,0.84,1.1
"mu1[355]",0.5,0.5,0.06,0.39,0.6
"mu1[356]",0.19,0.19,0.04,0.1,0.28
"mu1[357]",0.41,0.41,0.06,0.29,0.53
"mu1[358]",0.55,0.55,0.05,0.45,0.63
"mu1[359]",0.67,0.67,0.07,0.54,0.81
"mu1[360]",0.59,0.58,0.06,0.46,0.7
"mu1[361]",0.4,0.4,0.07,0.27,0.53
"mu1[362]",0.8,0.8,0.08,0.65,0.95
"mu1[363]",0.01,0.01,0.06,-0.11,0.12
"mu1[364]",0.33,0.33,0.07,0.19,0.46
"mu1[365]",-0.34,-0.34,0.07,-0.47,-0.19
"mu1[366]",-0.16,-0.16,0.07,-0.29,-0.03
"mu1[367]",0.65,0.66,0.07,0.51,0.8
"mu1[368]",0.18,0.18,0.06,0.06,0.29
"mu1[369]",0.87,0.87,0.07,0.74,1.01
"mu1[370]",0.79,0.79,0.08,0.64,0.94
"mu1[371]",-0.65,-0.65,0.09,-0.83,-0.47
"mu1[372]",-0.55,-0.55,0.09,-0.73,-0.38
"mu1[373]",-1.16,-1.16,0.11,-1.38,-0.95
"mu1[374]",-0.91,-0.9,0.08,-1.06,-0.76
"mu1[375]",0.21,0.21,0.07,0.08,0.35
"mu1[376]",-0.14,-0.14,0.06,-0.26,-0.03
"mu1[377]",-0.81,-0.81,0.08,-0.98,-0.65
"mu1[378]",0.39,0.39,0.06,0.27,0.52
"mu1[379]",-0.28,-0.28,0.09,-0.46,-0.09
"mu1[380]",-0.38,-0.38,0.09,-0.56,-0.21
"mu1[381]",0.15,0.15,0.08,-0.01,0.3
"mu1[382]",0.41,0.41,0.07,0.27,0.56
"mu1[383]",0.4,0.4,0.08,0.24,0.57
"mu1[384]",-0.87,-0.87,0.1,-1.07,-0.67
"mu1[385]",-0.69,-0.69,0.1,-0.88,-0.49
"mu1[386]",-0.02,-0.02,0.09,-0.2,0.15
"mu1[387]",0.25,0.25,0.09,0.07,0.43
"mu1[388]",0.47,0.46,0.1,0.27,0.67
"mu1[389]",-0.22,-0.22,0.09,-0.39,-0.06
"mu1[390]",0.17,0.17,0.07,0.04,0.3
"mu1[391]",-0.95,-0.95,0.09,-1.14,-0.77
"mu1[392]",0.94,0.94,0.08,0.79,1.1
"mu1[393]",-0.58,-0.58,0.09,-0.76,-0.41
"mu1[394]",0.64,0.64,0.11,0.43,0.85
"mu1[395]",1.05,1.05,0.09,0.88,1.22
"mu1[396]",-0.26,-0.26,0.1,-0.46,-0.06
"mu1[397]",0.51,0.51,0.1,0.32,0.71
"mu1[398]",1.12,1.12,0.1,0.93,1.32
"mu1[399]",0.5,0.5,0.11,0.29,0.72
"mu1[400]",0.12,0.12,0.1,-0.08,0.3
"mu1[401]",0.65,0.65,0.12,0.43,0.87
"mu1[402]",-0.54,-0.54,0.12,-0.77,-0.31
"mu1[403]",-0.09,-0.09,0.13,-0.34,0.16
"mu1[404]",-0.3,-0.3,0.11,-0.51,-0.08
"mu1[405]",0.48,0.48,0.11,0.27,0.7
"mu1[406]",0.72,0.72,0.07,0.57,0.86
"mu1[407]",0.11,0.11,0.09,-0.07,0.28
"mu1[408]",0.2,0.2,0.09,0.02,0.37
"mu1[409]",0.33,0.33,0.11,0.12,0.55
"mu1[410]",0.02,0.02,0.05,-0.08,0.11
"mu1[411]",0.94,0.94,0.09,0.77,1.13
"mu1[412]",-0.44,-0.44,0.11,-0.64,-0.22
"mu1[413]",0.09,0.09,0.11,-0.11,0.31
"mu1[414]",0.38,0.38,0.1,0.2,0.57
"mu1[415]",-0.41,-0.41,0.1,-0.6,-0.22
"mu1[416]",-0.48,-0.48,0.08,-0.64,-0.33
"mu1[417]",-0.19,-0.19,0.11,-0.41,0.04
"mu1[418]",0.11,0.1,0.13,-0.13,0.35
"mu1[419]",0.36,0.36,0.12,0.13,0.6
"mu1[420]",0.66,0.66,0.1,0.46,0.86
"mu1[421]",-0.01,-0.01,0.11,-0.21,0.2
"mu1[422]",-0.38,-0.38,0.05,-0.49,-0.27
"mu1[423]",-0.62,-0.63,0.12,-0.87,-0.38
"mu1[424]",-0.23,-0.23,0.12,-0.45,0
"mu1[425]",0.6,0.6,0.1,0.4,0.8
"mu1[426]",0.03,0.03,0.11,-0.18,0.25
"mu1[427]",0.71,0.71,0.16,0.41,1.03
"mu1[428]",0.63,0.63,0.06,0.51,0.74
"mu1[429]",-1.22,-1.22,0.08,-1.38,-1.06
"mu1[430]",0.87,0.87,0.07,0.73,1.01
"mu1[431]",0.96,0.96,0.07,0.83,1.1
"mu1[432]",-1.43,-1.43,0.09,-1.6,-1.26
"mu1[433]",0.72,0.72,0.07,0.59,0.85
"mu1[434]",-0.1,-0.1,0.06,-0.22,0.03
"mu1[435]",0.16,0.16,0.06,0.03,0.28
"mu1[436]",-0.25,-0.25,0.09,-0.43,-0.06
"mu1[437]",0.09,0.09,0.07,-0.04,0.23
"mu1[438]",0.46,0.46,0.05,0.37,0.56
"mu1[439]",-0.09,-0.09,0.06,-0.2,0.02
"mu1[440]",-0.61,-0.61,0.07,-0.75,-0.46
"mu1[441]",0.24,0.24,0.07,0.11,0.38
"mu1[442]",1.23,1.23,0.08,1.07,1.39
"mu1[443]",-0.07,-0.07,0.06,-0.18,0.04
"mu1[444]",0.52,0.52,0.06,0.4,0.63
"mu1[445]",0.23,0.23,0.07,0.1,0.37
"mu1[446]",0.11,0.11,0.05,0.01,0.22
"mu1[447]",0.62,0.62,0.06,0.51,0.74
"mu1[448]",0.97,0.97,0.07,0.84,1.1
"mu1[449]",0.93,0.93,0.05,0.83,1.04
"mu1[450]",-0.27,-0.27,0.06,-0.4,-0.15
"mu1[451]",0.76,0.76,0.06,0.66,0.87
"mu1[452]",-0.34,-0.34,0.1,-0.54,-0.15
"mu1[453]",0.37,0.37,0.04,0.28,0.46
"mu1[454]",-0.09,-0.1,0.05,-0.18,0
"mu1[455]",1.12,1.12,0.06,1.01,1.24
"mu1[456]",0.52,0.52,0.04,0.43,0.6
"mu1[457]",0.28,0.29,0.06,0.17,0.4
"mu1[458]",0.25,0.25,0.08,0.1,0.39
"mu1[459]",-0.5,-0.5,0.09,-0.68,-0.32
"mu1[460]",0.81,0.81,0.05,0.72,0.9
"mu1[461]",-0.28,-0.28,0.06,-0.4,-0.16
"mu1[462]",-0.67,-0.67,0.08,-0.83,-0.51
